"OCLC #", "Title", "Author", "Language", "Item type", "Publication", "Publisher", "Database", "Notes", "Added date"
"63667867","שחיטות ובדיקות : גבול בנימין \ Sheḥiṭot u-vediḳot : Gevul Binyamin","ווייל, יעקב בן יהודה, המאה ה־15. Jacob ben Judah Weil; Benjamin Wolf ben Meir Weinternitz; Vinograd Collection (University of Pennsylvania. Center for Judaic Studies)","Hebrew","book_printbook","","בדפוס של משה כ״ץ, Prague : Ba-defus shel Mosheh Kats, 537 [1776 or 1777]","","","2021-10-26 18:11"
"122774236","ספר זבח שמואל : עם הגהות דרישת זאב : על דיני הלכות ש״וב מהגאון מהרי״ו / שמואל ... שוחט ובודק ... בעיר ... ליסא [ונכד המחבר] שמואל זאב בהמנוח דוד. Sefer Zevaḥ Shemuʼel : ʻim hagahot Derishat ha-Zeʼev : ʻal dine hilkhot sh. u-v. meha-gaʼon Mahariṿ","Samuel ben Moses, of Lissa.; Jacob ben Judah Weil; Shemuʼel Zeʼev ben Daṿid.","Hebrew","book_printbook","","געדרוקט ביוא הירש ב״ר מאיר ווארשויער, Dihrenfurṭ : Gedruḳṭ bay Hirsh b.R. Meʼir Ṿarshoyer, 582, 1822.","","","2021-10-26 18:11"
"122771470","שחיטות ובדיקות : של הגאון מהר״י וייל : עמ תוספת פירוש אהל ישראל / Sheḥiṭot u-vediḳot : shel ha-gaʼon MaHaRI Ṿail : ʻim tosfot perush ohel Yiśraʼel","וײל, יעקב, בדפיצו 15פט דומפץעש. Jacob ben Judah Weil;  Israel, of Copenhagen.","Hebrew","book_printbook","","בדפוס ישראל ב״ר אברהם, Ṿanzibeḳ : Bi-defus Yiśraʼel bar Avraham, 493 [i.e. 1732 or 1733]","","","2021-10-26 18:11"
"500102531","ספר צפנת פענח : דיני שחיטות ובדיקות הריאה ובדיקות הסכין / Sefer Tsafnat paʻneaḥ : dine sheḥiṭot u-vediḳot ha-reʼah u-vediḳot ha-sakin","Yosef Finḳelshṭain","Hebrew","book_printbook","","פערלאג בייא ר' איציק ראשפיץ אדר נאטהאן אויס פעסט, Pesṭ : Ferlag bai R. Itsiḳ Roshpits oder Naṭhan, 605 [1845].","","","2021-10-26 18:11"
"122867748","ספר זבחי שלמים : כולל הלכות שחיטות ובדיקות, כלליהן ופרטיהן ... על סדר נאה ומתקבל / Sefer Zivḥe shelamim : kolel hilkhot sheḥiṭot u-vediḳot, kelalehen u-feraṭehen ... ʻal seder naʼeh u-mitḳabel","יאקב בן חנוך, המאה ה־19.ה־18. Jakob Beck","Hebrew","book_printbook","","געדרוקט בייא אנטון שמיד, Ṿin : Gedruḳṭ bay Anṭon Shmid, 1827.","","","2021-10-26 18:11"
"122827573","שחיטות Shehitot.","ווייל, יעקב. Jacob ben Judah Weil","Yiddish","book_mic","","משה בן בצלאל בץ, Prague, [approximately 1640]","","","2021-10-26 18:11"
"43360963","Bet ha-keneset ṿe-hilkhot sheḥiṭot u-veriḳot bi-leshon Ashkenaz : das ist, Kurtze Beschreibung einer Judischen Synagoge : nebst einem Anhang von Schächten und visitiren, aus dem Rabbinischen in Hochteutscher Sprache übergesetzet und heraus gegeben","Moritz Wilhelm Christiani","German","book_printbook","","Bermen : Gedruckt bey Hermann Brauer, [17--?]","","","2021-10-26 18:11"
"872364010","הלכות שחיטות ובדיקות","Y'akov ben Yehuda Weil;","Hebrew","book_printbook","","Mets, 1821","","","2021-10-26 18:11"
"85090498","Sheḥiṭot (bediḳot) : ṿe-ha-hagahot ... [ʻim din niḳor ha-baśar le-Rashi].","Jacob ben Judah Weil;  Rashi","Hebrew","book_printbook","","Basle, 1609.","","","2021-10-26 18:11"
"19195270","Zevaḥ Shemuʼel.","Samuel ben Moses, of Lissa.; Jacob ben Judah Weil; Samuel Zeʼev ben David.","Hebrew","book_printbook","","Brzeg Dolny : Gedruḳṭ bay Hirsh [ben] Meʼir Ṿarshoṿer, 582, 1822.","","","2021-10-26 18:11"
"708699396","ספר זבח שמואל : על דיני הלכות ש״וב / Sefer Zevaḥ Shemuʼel : ʻal dine hilkhot Sh. u-v.","Samuel ben Moses, of Lissa.; Jacob ben Judah Weil; Shemuʼel Zeʼev ben Daṿid.","Hebrew","book_printbook","","געדרוקט ביוא הירש ב״ר מאיר ווארשויער, Dihrenfurṭ : Gedruḳṭ bay Hirsh b.R. Meʼir Ṿarshoyer, 582, 1822.","","","2021-10-26 18:11"
"122756952","זבח שמואל : על דיני והלכות שחיטות ובדיקות / Zevaḥ Shemuʼel : ʻal dine ṿe-hilkhot sheḥiṭot u-vediḳot.","Samuel ben Moses, of Lissa.","Hebrew","book_printbook","","בדפוס דאקטר ופראפעסר גרילא, P.P. [i.e. Franḳfutṭ] de-Odrah : Bi-defus doḳtor u-profesor Grilo, 513 [1753]","","","2021-10-26 18:11"
"61282759","‏שחיטות ובדיקות של הרב יעקב ווייל /‏ Sheḥiṭot u-vediḳot shel ha-Rav Yaʻaḳov Ṿayil","‏ווייל, יעקב. Jacob ben Judah Weil; S Mielziner","Hebrew","book_printbook","","‏[חמו״ל], ‏ Ṿien : [Ḥ. mo. l.], [584] 1824.","","","2021-10-26 18:11"
"63062525","Zivḥe Ṭoviyah","Ṭoviyah Guṭman, mi-Lisa.; Jacob ben Judah Weil","Hebrew","book_mic","Yiddish publications from the Netherlands","Be-Amśṭerdam : David Tarṭas, [5]443 [1682 or 1683]","","","2021-10-26 18:11"
"774706622","לקוטי בנימן : שחיטות ובדיקות ... בקיצורי דינים / Liḳuṭe Binyamin : sheḥiṭot u-vediḳot ... be-ḳitsure dinim","פרנקפורט, בנימין בן צבי. Benjamin ben Tsebi Frankfurt; Jacob ben Judah Weil","Hebrew","book_printbook","","לבית הדפוס של אברהם פריזעק, Lineṿil : Le-vet ha-defus shel Avraham Frizeḳ, 567 [1806 or 1807]","","","2021-10-26 18:11"
"50873144","הלכות שחיטות ובדיקות / Hilkhot sheḥiṭot u-vediḳot","ווייל, יעקב בן יהודה, המאה ה־15. Jacob ben Judah Weil;  Yiśraʼel, a.b.d. be-ḳ. ḳ. Ḳopinhagin.; Daṿid ben Gershon Daiṭsh","Hebrew","book_printbook","","זלמן שלעסינגער, Mits [Metz] : [Ḥ. mo. l.], 1821.","","","2021-10-26 18:11"
"703674078","שחיטות ובדיקות / Sheḥiṭot u-vediḳot","ווייל, יעקב בן יהודה, המאה ה־15. Jacob ben Judah Weil; Jacob ben Hayyim Eilenburg","Hebrew","book_printbook","","[חמו״ל], Ḳarlsru : [Ḥ. mo. l.], 597 [1837]","","","2021-10-26 18:11"
"25230847","Sheḥiṭot u-vediḳot shel Yaʻaḳov Ṿayil","Jacob ben Judah Weil; Benjamin Wolf ben Meir Weinternitz","Hebrew","book_mic","","Prague : Gedruḳṭ en der Ayzinṿongrisha Bukhdruḳray, 556 [1796]","","","2021-10-26 18:11"
"122713348","ספר שחיטות / Sefer Sheḥiṭot","Jacob ben Judah Weil","Hebrew","book_printbook","","בדפוס חוה אשת נפתלי הירץ גרויש מאן, Lemberg : Chawe Grosman, 606 [sic. Actually 600] 1839.","","","2021-10-26 18:11"
